tertile,disc_pop,disc_val,disc_inc,Ni_aw,Ni_bk,Ni_hvy,Ni_mcd,Ni_wdy,Nj_aw,Nj_bk,Nj_hvy,Nj_mcd,Nj_wdy,ai_aw,ai_bk,ai_hvy,ai_mcd,ai_wdy,disc_inf,disc_gdp
3,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0
3,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
3,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
3,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
3,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
3,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,2,1,1
3,0,0,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1,1
3,0,0,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1,1
3,0,0,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1,1
3,0,0,2,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1,1
3,0,0,2,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1,1
3,0,0,2,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1,1
3,0,0,2,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1,1
3,0,0,2,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1,1
3,0,0,2,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1
3,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
3,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1
3,1,1,0,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
3,1,1,1,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
3,1,1,1,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
3,1,1,1,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
3,1,1,1,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
3,1,1,1,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
3,1,1,1,1,0,0,1,0,1,2,2,1,2,1,1,1,2,1,1,1
3,1,1,2,1,0,0,2,0,2,3,3,1,3,1,1,1,1,1,1,1
3,1,2,2,1,0,0,2,0,2,3,3,1,3,1,1,1,1,1,1,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,1
3,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
3,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
3,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
3,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
3,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
3,0,0,2,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
3,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0
3,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
3,0,0,2,0,0,0,1,0,1,1,1,0,1,1,1,2,1,1,1,1
3,0,0,2,0,0,1,1,0,2,2,1,1,2,1,1,1,1,1,0,1
3,0,1,2,0,0,1,1,0,2,2,1,1,2,1,1,1,1,1,0,1
3,0,1,2,0,0,1,1,0,2,2,1,1,2,1,1,1,1,1,1,1
3,0,1,2,0,0,1,1,0,2,2,1,1,2,1,1,1,1,1,0,1
3,0,1,2,0,0,1,1,0,2,2,1,1,2,1,1,1,1,1,0,1
3,0,1,2,0,0,1,1,0,2,2,1,1,2,1,1,1,1,1,0,0
3,0,1,2,0,0,1,1,0,2,2,1,1,2,1,1,1,1,1,1,0
3,0,1,2,0,0,1,1,0,2,2,1,1,2,1,1,1,1,1,1,1
3,0,1,2,0,0,1,1,0,2,2,1,1,2,1,1,1,1,1,1,1
3,0,1,2,0,0,1,1,0,2,2,1,1,2,1,1,1,1,1,1,1
3,0,1,2,0,0,1,1,0,2,2,1,1,2,2,1,1,1,1,1,1
3,0,1,2,1,0,1,1,0,2,3,2,2,3,1,1,1,1,1,1,1
3,0,1,2,1,0,1,1,0,2,3,2,2,3,1,1,1,1,1,1,1
3,0,1,2,1,0,1,1,0,2,3,2,2,3,1,1,1,1,1,1,1
3,1,1,3,1,0,1,1,0,2,3,2,2,3,1,1,1,1,1,1,1
3,1,1,3,1,0,1,1,0,2,3,2,2,3,1,1,1,1,1,1,1
3,1,2,3,1,0,1,1,0,2,3,2,2,3,1,1,1,1,1,1,1
3,1,2,3,1,0,1,1,0,2,3,2,2,3,1,1,0,1,1,1,1
3,1,2,3,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
3,1,3,3,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1,0,0,2,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1,0,0,2,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
1,0,0,2,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1,0,1,2,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1,0,1,2,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
1,0,1,2,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1,0,1,2,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1,0,1,2,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0
1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,1,2,3,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1
1,1,2,3,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
1,1,3,3,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,1
3,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
3,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
3,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
3,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
3,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0
3,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
3,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
3,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
3,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
3,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
3,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
3,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
3,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0
3,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0
3,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
3,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
3,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
3,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
3,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
3,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
3,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
3,1,1,1,0,0,0,1,0,1,1,1,0,1,1,2,1,1,1,1,1
3,1,1,1,0,1,0,1,0,2,1,2,1,2,1,1,1,1,1,1,1
3,1,1,1,0,1,0,1,0,2,1,2,1,2,1,1,1,1,1,1,1
3,1,1,1,0,1,0,1,0,2,1,2,1,2,1,1,1,1,1,1,1
3,1,1,2,0,1,0,1,0,2,1,2,1,2,1,1,1,1,1,1,1
3,1,2,2,0,1,0,1,0,2,1,2,1,2,1,1,1,1,1,1,1
2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
2,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2,3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
2,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
2,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1
2,3,1,3,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
2,3,1,3,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
2,3,1,3,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
2,3,1,3,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
2,3,2,3,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
2,3,2,3,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
2,3,2,3,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
2,3,2,3,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
2,3,2,3,0,0,0,1,0,1,1,1,0,1,2,1,1,1,1,1,1
2,3,2,3,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
2,3,3,3,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
2,3,3,3,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1
3,0,1,2,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
3,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
3,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,2,1,0,1
3,0,1,2,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
3,0,1,2,1,0,0,1,0,1,2,2,1,2,1,1,1,2,1,0,1
3,0,1,2,1,0,0,3,0,3,3,3,1,3,1,1,1,1,1,0,1
3,0,1,2,1,0,0,3,0,3,3,3,1,3,0,1,1,2,1,1,1
3,0,1,2,0,0,0,3,0,3,3,3,0,3,1,1,2,1,1,0,1
3,0,1,2,0,0,1,3,0,3,3,3,1,3,1,1,1,1,1,0,1
3,0,1,2,0,0,1,3,0,3,3,3,1,3,1,1,1,1,1,0,0
3,1,1,2,0,0,1,3,0,3,3,3,1,3,1,1,1,1,1,1,0
3,1,1,2,0,0,1,3,0,3,3,3,1,3,1,1,1,2,1,1,1
3,1,1,2,0,0,1,3,0,3,3,3,1,3,1,1,1,1,1,1,1
3,1,1,2,0,0,1,3,0,3,3,3,1,3,1,1,1,1,1,1,1
3,1,2,2,0,0,1,3,0,3,3,3,1,3,1,1,1,1,1,1,1
3,1,2,2,0,0,1,3,0,3,3,3,1,3,1,1,1,1,1,1,1
3,1,2,2,0,0,1,3,0,3,3,3,1,3,1,1,1,1,1,1,1
3,1,2,3,0,0,1,3,0,3,3,3,1,3,1,1,1,2,1,1,1
3,1,2,3,0,0,1,3,0,3,3,3,1,3,1,2,1,1,1,1,1
3,1,2,3,0,1,1,3,0,3,3,3,2,3,1,1,1,1,1,1,1
3,1,2,3,0,1,1,3,0,3,3,3,2,3,1,1,1,1,1,1,1
3,1,2,3,0,1,1,3,0,3,3,3,2,3,1,0,0,1,1,1,1
3,1,2,3,0,0,0,3,0,3,3,3,0,3,1,1,1,1,1,1,1
3,1,3,3,0,0,0,3,0,3,3,3,0,3,1,1,1,1,1,1,1
2,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
2,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
2,0,1,2,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
2,0,1,2,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
2,0,1,2,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
2,0,1,2,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
2,0,1,2,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
2,0,1,2,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
2,0,1,3,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
2,0,1,3,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
2,0,1,3,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
2,0,1,3,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
2,0,1,3,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
2,0,1,3,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
2,0,1,3,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
2,0,1,3,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
2,0,1,3,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
2,0,1,3,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
2,0,1,3,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
2,0,2,3,0,1,0,0,0,1,0,1,1,1,2,1,1,1,1,0,1
2,0,2,3,1,1,0,0,0,1,1,2,2,2,1,0,1,1,1,0,0
2,0,2,3,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
2,0,2,3,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2,0,2,3,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2,0,2,3,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2,0,2,3,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2,0,2,3,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1
2,0,2,3,1,0,0,0,1,1,2,2,2,1,1,1,1,1,1,1,1
2,0,2,3,1,0,0,0,1,1,2,2,2,1,1,1,1,1,1,1,1
2,0,2,3,1,0,0,0,1,1,2,2,2,1,1,1,1,1,1,1,1
2,0,2,3,1,0,0,0,1,1,2,2,2,1,1,1,1,1,1,1,1
2,0,2,3,1,0,0,0,1,1,2,2,2,1,1,1,1,1,1,1,1
2,0,3,3,1,0,0,0,1,1,2,2,2,1,1,1,1,1,1,1,1
2,0,3,3,1,0,0,0,1,1,2,2,2,1,1,1,1,1,1,1,1
2,0,3,3,1,0,0,0,1,1,2,2,2,1,1,1,1,1,1,1,1
2,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
2,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
2,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
2,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
2,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
2,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
2,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
2,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
2,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
2,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
2,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
2,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
2,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
2,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
2,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
2,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
2,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
2,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
2,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0
2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1
2,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2,1,1,2,1,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1
2,1,1,2,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
2,1,1,2,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
2,2,1,2,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
2,2,1,2,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
2,2,2,3,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
2,2,2,3,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
2,2,3,3,1,0,0,1,0,1,2,2,1,2,1,1,1,1,1,1,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,1
2,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1
2,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
2,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1
2,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1
2,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0
2,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0
2,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
2,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
2,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
2,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
2,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
2,1,1,2,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
2,1,1,2,0,0,0,0,1,1,1,1,1,0,1,1,1,2,1,1,1
2,1,1,2,0,0,0,1,1,2,2,2,1,1,1,1,1,1,1,1,1
2,2,1,2,0,0,0,1,1,2,2,2,1,1,1,1,1,1,0,1,1
2,2,1,2,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
2,2,2,3,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
2,2,2,3,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
